Unique ID,Timestamp,Gender^,Country of Nationality^,Country of Residence^,What is your primary occupation?^,Select the option below that best describes your field of study or expertise^,What is your primary area of interest within OpenCon’s program areas?^,"Are you currently engaged in activities to advance Open Access, Open Education, and/or Open Data?^",Are you planning to participate in any of the following events this year?^,Do you have any of the following skills or interests?^
29698229,6/18/2015 6:27:00,Male,Pakistan,Pakistan,Faculty/teacher,Medicine/Health Sciences - Other medical sciences,Open Education,Yes,Open Education Week,Website Management / Design; Video Editing; Social Media Campaigns; Volunteer Management; Research about OpenCon's Issue Areas
76576474,6/18/2015 6:30:25,Female,Kenya,Kenya,Undergraduate student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,No,Open Education Week,Coding; Website Management / Design; Community / Grassroots Organizing; Social Media Campaigns; Volunteer Management
24277032,6/18/2015 6:39:25,Male,Nigeria,Nigeria,Undergraduate student,Engineering/Technology - Chemical engineering,Open Data,Yes,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
80885292,6/18/2015 6:45:54,Male,Uganda,Uganda,Professional advocate,None of these describes my field of study or expertise,Open Access,No,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Advocacy and Policy; Volunteer Management
11364851,6/18/2015 6:50:33,Male,Bangladesh,Bangladesh,Undergraduate student,Natural Sciences - Mathematics,Open Data,Yes,Open Data Day,Coding; Social Media Campaigns; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
15206903,6/18/2015 6:54:13,Female,Ghana,Ghana,Librarian,None of these describes my field of study or expertise,Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Fundraising; Blogging; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
30678582,6/18/2015 6:55:41,Female,Nigeria,Nigeria,Undergraduate student,Social Sciences - Educational sciences,Open Education,No,Open Access Week; Open Education Week,Community / Grassroots Organizing; Event Logistics; Volunteer Management
35659435,6/18/2015 7:09:04,Female,Greece,United Kingdom,Faculty/teacher,"Humanities - Art (arts, history of arts, performing arts, music)",Open Education,Yes,,Volunteer Management
48377781,6/18/2015 7:13:01,Male,Cameroon,Cameroon,Masters/professional student,Natural Sciences - Earth and related environmental sciences,Open Education,Yes,Open Education Week,Website Management / Design
35572099,6/18/2015 7:26:28,Male,Nigeria,Nigeria,Civil servant / government employee,Social Sciences - Sociology,Open Access,No,Open Access Week,Community / Grassroots Organizing; Fundraising; Communications and Media; Event Logistics; Volunteer Management
33525112,6/18/2015 7:27:02,Male,Tanzania,Tanzania,Other: DIPLOMA STUDENT,Medicine/Health Sciences - Basic medicine,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Coding; Website Management / Design; Graphic Design; Fundraising; Research about OpenCon's Issue Areas
16046536,6/18/2015 7:33:51,Male,Tunisia,Tunisia,Researcher (non-faculty),Engineering/Technology - Other engineering and technologies,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Coding; Communications and Media
39192349,6/18/2015 7:35:09,Male,Botswana,Botswana,Undergraduate student,Social Sciences - Political Science,Open Education,Yes,Open Education Week,Social Media Campaigns; Fundraising; Event Logistics; Volunteer Management
20622612,6/18/2015 7:36:42,Female,Ethiopia,Ethiopia,Faculty/teacher,Natural Sciences - Computer and information sciences (incl. library and information science),Open Data,No,Open Access Week; Open Data Day,Coding; Website Management / Design; Blogging; Research about OpenCon's Issue Areas
36933341,6/18/2015 7:36:55,Female,Kyrgyzstan,Kyrgyzstan,Undergraduate student,Social Sciences - Economics and business,Open Education,No,,
27955805,6/18/2015 7:45:06,Male,Tanzania,Tanzania,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,No,Open Access Week; Open Education Week; Open Data Day,Website Management / Design; Graphic Design; Social Media Campaigns; Communications and Media; Blogging
20337465,6/18/2015 7:47:41,Female,Pakistan,Pakistan,Undergraduate student,Natural Sciences - Biological sciences,Open Education,No,,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Communications and Media; Research about OpenCon's Issue Areas
14951357,6/18/2015 7:56:30,Male,Zambia,Zambia,Undergraduate student,Social Sciences - Educational sciences,Open Access,Yes,Open Access Week; Open Education Week,Fundraising; Advocacy and Policy; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
12223620,6/18/2015 8:00:52,Male,Zimbabwe,Zimbabwe,Librarian,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
15813849,6/18/2015 8:12:09,Male,Nigeria,Nigeria,Masters/professional student,Medicine/Health Sciences - Health sciences,Open Data,No,Open Education Week,Social Media Campaigns; Communications and Media; Advocacy and Policy; Event Logistics; Volunteer Management
15700295,6/18/2015 8:25:30,Female,Estonia,Estonia,Librarian,Social Sciences - Media and communications,Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Website Management / Design; Social Media Campaigns; Communications and Media; Event Logistics; Research about OpenCon's Issue Areas
27242261,6/18/2015 8:30:42,Male,Ethiopia,Ethiopia,PhD candidate,Natural Sciences - Earth and related environmental sciences,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Video Editing; Research about OpenCon's Issue Areas
15392571,6/18/2015 8:34:45,Female,Gambia,Turkey,Masters/professional student,Social Sciences - Economics and business,Open Education,No,Open Education Week; Open Data Day,Fundraising
23854585,6/18/2015 8:44:01,Male,Egypt,Egypt,Other: Lecturer of Rheumatology,Medicine/Health Sciences - Clinical medicine,Open Access,No,Open Access Week; Open Education Week; Open Data Day,Graphic Design; Video Editing; Social Media Campaigns; Communications and Media; Volunteer Management
28258764,6/18/2015 8:49:16,Female,India,India,Undergraduate student,Social Sciences - Law,Open Education,No,Open Access Week; Open Education Week; Open Data Day,Communications and Media; Event Logistics
19372423,6/18/2015 8:50:56,Male,Kenya,Kenya,Undergraduate student,Social Sciences - Economics and business,Open Education,Yes,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
25876969,6/18/2015 8:53:50,Male,Nigeria,Nigeria,Undergraduate student,Agricultural Sciences - Other agricultural sciences,Open Data,No,,Graphic Design; Social Media Campaigns; Communications and Media; Event Logistics
13087599,6/18/2015 8:56:29,Female,Pakistan,Pakistan,Other: A Level graduate,Natural Sciences - Physical sciences,Open Education,No,Open Education Week,Community / Grassroots Organizing; Communications and Media; Blogging; Event Logistics; Volunteer Management
34966476,6/18/2015 9:06:41,Male,Nigeria,Nigeria,Faculty/teacher,Natural Sciences - Physical sciences,Open Access,Yes,Open Access Week,Coding; Website Management / Design; Social Media Campaigns; Event Logistics; Research about OpenCon's Issue Areas
32229043,6/18/2015 9:15:08,Female,Ukraine,Ukraine,Lawyer,Social Sciences - Law,Open Education,No,Open Education Week,Community / Grassroots Organizing; Advocacy and Policy
38643446,6/18/2015 9:16:08,Female,Russia,Russia,Undergraduate student,Social Sciences - Economics and business,Open Education,No,Open Education Week,Community / Grassroots Organizing; Blogging
13076178,6/18/2015 9:26:18,Male,Pakistan,Pakistan,PhD candidate,Medicine/Health Sciences - Health biotechnology,Open Education,Yes,,Fundraising; Blogging
32837920,6/18/2015 9:55:58,Male,Georgia,Georgia,Undergraduate student,Medicine/Health Sciences - Basic medicine,Open Access,No,,Community / Grassroots Organizing; Social Media Campaigns; Blogging
26121927,6/18/2015 9:56:19,Male,Philippines,Philippines,Professional advocate,None of these describes my field of study or expertise,Open Education,Yes,Open Access Week; Open Education Week,Social Media Campaigns; Fundraising; Communications and Media; Event Logistics; Volunteer Management
24802445,6/18/2015 9:56:31,Male,Sierra Leone,Sierra Leone,Publisher,Natural Sciences - Computer and information sciences (incl. library and information science),Open Data,Yes,Open Access Week; Open Education Week; Open Data Day,Coding; Website Management / Design; Community / Grassroots Organizing; Event Logistics; Volunteer Management
41898689,6/18/2015 10:04:28,Male,Nigeria,Nigeria,Doctor / medical professional,Medicine/Health Sciences - Other medical sciences,Open Education,No,Open Access Week; Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Advocacy and Policy; Volunteer Management
17624364,6/18/2015 10:11:30,Male,Pakistan,Pakistan,PhD candidate,Natural Sciences - Computer and information sciences (incl. library and information science),Open Data,No,Open Access Week; Open Education Week; Open Data Day,Coding; Website Management / Design; Social Media Campaigns; Volunteer Management
18067465,6/18/2015 10:17:03,Female,Kenya,Kenya,Faculty/teacher,Social Sciences - Economics and business,Open Education,No,,Research about OpenCon's Issue Areas
33557160,6/18/2015 10:28:46,Male,Rwanda,Rwanda,Other: Social entrepreneur,"Agricultural Sciences - Agriculture, forestry, and fisheries",Open Access,Yes,,Fundraising
95877686,6/18/2015 10:29:34,Female,Ghana,Ghana,Librarian,Social Sciences - Educational sciences,Open Access,No,,Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
34155547,6/18/2015 10:35:17,Male,Cameroon,Cameroon,Professional advocate,Natural Sciences - Earth and related environmental sciences,Open Education,No,Open Education Week,Community / Grassroots Organizing; Fundraising
11361890,6/18/2015 10:38:18,Male,India,India,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,No,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Volunteer Management
25178192,6/18/2015 10:40:07,Male,Kenya,Kenya,Other: Law Reporter & Legal Researcher,Social Sciences - Law,Open Access,Yes,Open Access Week,Social Media Campaigns; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
87839138,6/18/2015 10:40:37,Male,"Congo, Democratic Republic of the","Congo, Democratic Republic of the",Undergraduate student,Social Sciences - Economics and business,Open Access,Yes,Open Education Week,Social Media Campaigns; Communications and Media; Volunteer Management
66545483,6/18/2015 10:45:07,Female,China,Germany,PhD candidate,Medicine/Health Sciences - Health sciences,Open Access,No,,Website Management / Design; Graphic Design; Community / Grassroots Organizing; Blogging
41697451,6/18/2015 10:45:51,Male,Nigeria,Nigeria,Undergraduate student,Social Sciences - Economics and business,Open Access,No,Open Access Week,Video Editing; Event Logistics
35091589,6/18/2015 10:50:18,Female,Kenya,Kenya,Undergraduate student,None of these describes my field of study or expertise,Open Education,No,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Event Logistics; Volunteer Management
16992694,6/18/2015 10:52:09,Male,Czech Republic,Germany,PhD candidate,Natural Sciences - Biological sciences,Open Education,No,Open Access Week; Open Education Week,Coding; Website Management / Design; Blogging; Research about OpenCon's Issue Areas
31624380,6/18/2015 10:52:16,Male,Burkina Faso,Burkina Faso,Undergraduate student,Social Sciences - Economics and business,Open Education,Yes,Open Education Week,Event Logistics; Volunteer Management
24379929,6/18/2015 10:53:05,Male,United States of America,United States of America,PhD candidate,Natural Sciences - Earth and related environmental sciences,Open Data,Yes,Open Access Week; Open Education Week,Video Editing; Community / Grassroots Organizing; Advocacy and Policy
35788685,6/18/2015 10:53:46,Male,Ghana,Ghana,Masters/professional student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Data,Yes,Open Access Week; Open Education Week; Open Data Day,Website Management / Design; Community / Grassroots Organizing; Fundraising; Blogging; Research about OpenCon's Issue Areas
14955518,6/18/2015 10:55:09,Male,Hungary,Ukraine,PhD candidate,Social Sciences - Economics and business,Open Education,Yes,,Community / Grassroots Organizing; Communications and Media; Advocacy and Policy; Event Logistics; Research about OpenCon's Issue Areas
39759372,6/18/2015 11:00:57,Male,India,United States of America,Masters/professional student,Engineering/Technology - Other engineering and technologies,Open Data,No,,Coding; Website Management / Design; Blogging; Volunteer Management
40891907,6/18/2015 11:13:50,Female,United States of America,United States of America,Librarian,None of these describes my field of study or expertise,Open Access,Yes,Open Access Week,Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
21609097,6/18/2015 11:19:34,Male,Vietnam,Vietnam,Masters/professional student,Social Sciences - Economics and business,Open Education,Yes,Open Education Week,Video Editing; Community / Grassroots Organizing; Advocacy and Policy; Volunteer Management
20370395,6/18/2015 11:24:56,Female,Georgia,Georgia,Faculty/teacher,Humanities - Languages and literature,Open Education,Yes,,Website Management / Design; Event Logistics; Research about OpenCon's Issue Areas
20695507,6/18/2015 11:32:02,Female,United States of America,United States of America,Faculty/teacher,None of these describes my field of study or expertise,Open Data,Yes,Open Access Week; Open Data Day,Website Management / Design; Social Media Campaigns; Communications and Media; Blogging; Research about OpenCon's Issue Areas
19867039,6/18/2015 11:33:16,Male,Georgia,Georgia,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,No,,Volunteer Management; Research about OpenCon's Issue Areas
35380245,6/18/2015 11:34:08,Male,Ethiopia,Ethiopia,PhD candidate,Natural Sciences - Computer and information sciences (incl. library and information science),Open Data,Yes,Open Data Day,Coding; Website Management / Design; Graphic Design; Advocacy and Policy; Research about OpenCon's Issue Areas
25264327,6/18/2015 11:37:19,Female,Philippines,Thailand,Researcher (non-faculty),Social Sciences - Economics and business,Open Access,No,,Advocacy and Policy; Event Logistics; Volunteer Management
59085759,6/18/2015 11:39:14,Male,Malawi,Malawi,Undergraduate student,Medicine/Health Sciences - Health sciences,Open Access,No,Open Access Week; Open Education Week,Community / Grassroots Organizing; Fundraising; Volunteer Management; Research about OpenCon's Issue Areas
11504556,6/18/2015 11:41:13,Male,Uganda,Uganda,Librarian,Social Sciences - Media and communications,Open Access,No,Open Access Week,Website Management / Design; Community / Grassroots Organizing; Social Media Campaigns
31798809,6/18/2015 11:41:19,Male,United Kingdom,United Kingdom,PhD candidate,Humanities - Other humanities,Open Access,Yes,Open Access Week,Advocacy and Policy; Research about OpenCon's Issue Areas
65544937,6/18/2015 11:42:35,Male,Mozambique,Swaziland,Other: Founder of a Private university college,Social Sciences - Other social sciences,Open Education,No,Open Education Week,Community / Grassroots Organizing; Fundraising; Advocacy and Policy; Event Logistics; Volunteer Management
33293216,6/18/2015 11:48:10,Male,Colombia,Colombia,Faculty/teacher,Social Sciences - Other social sciences,Open Access,Yes,Open Access Week; Open Data Day,Website Management / Design; Social Media Campaigns; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
34653140,6/18/2015 11:56:45,Male,Ethiopia,South Korea,Masters/professional student,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Data,Yes,Open Data Day,Coding; Website Management / Design; Social Media Campaigns; Volunteer Management; Research about OpenCon's Issue Areas
15790602,6/18/2015 12:03:43,Male,France,France,PhD candidate,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,Yes,Open Access Week,Coding; Website Management / Design; Blogging; Research about OpenCon's Issue Areas
40576307,6/18/2015 12:04:08,Female,Serbia,Serbia,PhD candidate,None of these describes my field of study or expertise,Open Education,No,Open Education Week,Graphic Design; Community / Grassroots Organizing; Social Media Campaigns; Blogging; Research about OpenCon's Issue Areas
39039595,6/18/2015 12:12:53,Male,United States of America,United States of America,PhD candidate,Medicine/Health Sciences - Other medical sciences,Open Data,Yes,Open Data Day,Coding; Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Research about OpenCon's Issue Areas
27602632,6/18/2015 12:13:29,Male,Germany,Belgium,Civil servant / government employee,"Humanities - Philosophy, ethics and religion",Open Education,Yes,,
25833383,6/18/2015 12:13:30,Female,Canada,Canada,Researcher (non-faculty),Medicine/Health Sciences - Health sciences,Open Data,Yes,Open Access Week; Open Data Day,Community / Grassroots Organizing; Advocacy and Policy; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
77683793,6/18/2015 12:19:35,Female,Pakistan,Pakistan,Undergraduate student,None of these describes my field of study or expertise,Open Data,No,Open Data Day,Advocacy and Policy; Research about OpenCon's Issue Areas
19914128,6/18/2015 12:23:43,Male,Tanzania,Tanzania,Masters/professional student,Engineering/Technology - Mechanical engineering,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Graphic Design; Social Media Campaigns; Fundraising; Event Logistics; Research about OpenCon's Issue Areas
14667105,6/18/2015 12:24:16,Female,Morocco,Canada,Masters/professional student,Medicine/Health Sciences - Clinical medicine,Open Education,No,,Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
12243393,6/18/2015 12:24:36,Female,United States of America,United States of America,Librarian,Social Sciences - Law,Open Access,Yes,Open Access Week,Website Management / Design; Blogging; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
19807718,6/18/2015 12:31:42,Female,India,Canada,Librarian,Social Sciences - Educational sciences,Open Data,No,Open Access Week,Community / Grassroots Organizing; Fundraising; Blogging; Volunteer Management; Research about OpenCon's Issue Areas
39735143,6/18/2015 12:32:45,Male,Tanzania,Tanzania,Undergraduate student,Social Sciences - Political Science,Open Education,Yes,Open Access Week; Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Volunteer Management
25738682,6/18/2015 12:39:38,Male,Kazakhstan,Kazakhstan,Masters/professional student,Social Sciences - Law,Open Education,No,,Social Media Campaigns; Advocacy and Policy
23969325,6/18/2015 12:42:47,Female,Canada,Philippines,Masters/professional student,Social Sciences - Other social sciences,Open Access,No,,Volunteer Management
36211036,6/18/2015 12:43:01,Female,France,Belgium,Civil servant / government employee,Medicine/Health Sciences - Health sciences,Open Data,Yes,,Research about OpenCon's Issue Areas
79201287,6/18/2015 12:49:00,Female,Ethiopia,Ethiopia,Undergraduate student,Social Sciences - Law,Open Education,Yes,Open Access Week; Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Blogging; Volunteer Management
70989158,6/18/2015 12:50:10,Female,Cameroon,Cameroon,Masters/professional student,Social Sciences - Political Science,Open Access,No,Open Access Week,Communications and Media; Volunteer Management
19325797,6/18/2015 13:07:39,Female,Slovenia,Slovenia,Faculty/teacher,Humanities - Languages and literature,Open Education,No,,Social Media Campaigns; Communications and Media; Blogging; Event Logistics; Volunteer Management
17607472,6/18/2015 13:08:05,Female,Argentina,Argentina,Other: CSO member,Social Sciences - Law,Open Data,Yes,,Advocacy and Policy
24038736,6/18/2015 13:08:47,Male,Pakistan,Pakistan,Undergraduate student,Humanities - History and archaeology,Open Data,Yes,,Volunteer Management
40317314,6/18/2015 13:12:00,Female,Colombia,Colombia,Researcher (non-faculty),Medicine/Health Sciences - Health sciences,Open Access,No,,Fundraising; Event Logistics
20400308,6/18/2015 13:19:06,Female,Iraq,Iraq,Undergraduate student,Medicine/Health Sciences - Basic medicine,Open Education,No,,Advocacy and Policy; Volunteer Management
38980193,6/18/2015 13:20:32,Male,Canada,Canada,Masters/professional student,Social Sciences - Political Science,Open Data,Yes,Open Access Week; Open Data Day,Coding; Graphic Design; Video Editing; Fundraising; Communications and Media
42121530,6/18/2015 13:22:22,Male,Philippines,Philippines,Other: Social Entrepreneur,Social Sciences - Economics and business,Open Education,No,Open Education Week,Graphic Design; Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Volunteer Management
20369828,6/18/2015 13:23:52,Female,United States of America,United States of America,Librarian,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,No,Open Access Week; Open Education Week,Social Media Campaigns; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
39150275,6/18/2015 13:28:48,Male,Nepal,Nepal,Researcher (non-faculty),Natural Sciences - Biological sciences,Open Data,Yes,,Community / Grassroots Organizing; Fundraising; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
60736489,6/18/2015 13:28:51,Female,Cameroon,Cameroon,Undergraduate student,Social Sciences - Law,Open Education,Yes,Open Education Week,Community / Grassroots Organizing; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
24638151,6/18/2015 13:31:33,Male,Nigeria,Nigeria,Undergraduate student,"Humanities - Art (arts, history of arts, performing arts, music)",Open Education,No,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
39731088,6/18/2015 13:33:56,Male,Zimbabwe,Zimbabwe,Professional advocate,Social Sciences - Economics and business,Open Data,No,,Coding; Social Media Campaigns; Blogging
23330204,6/18/2015 13:36:26,Male,Nigeria,Nigeria,Undergraduate student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,No,Open Access Week; Open Education Week; Open Data Day,Website Management / Design; Graphic Design; Video Editing; Social Media Campaigns; Communications and Media
21671153,6/18/2015 13:45:31,Male,Ghana,Ghana,Librarian,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,Yes,Open Access Week,Social Media Campaigns; Advocacy and Policy; Research about OpenCon's Issue Areas
23231690,6/18/2015 13:48:29,Female,Pakistan,Pakistan,Undergraduate student,Social Sciences - Other social sciences,Open Data,No,,Social Media Campaigns; Fundraising; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
28141209,6/18/2015 13:49:05,Female,Uganda,Uganda,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Fundraising; Advocacy and Policy
12816846,6/18/2015 13:53:47,Female,Georgia,Georgia,Undergraduate student,Social Sciences - Economics and business,Open Education,No,Open Education Week,Website Management / Design; Social Media Campaigns; Blogging; Volunteer Management
19037641,6/18/2015 13:54:29,Male,Kenya,United States of America,Undergraduate student,Social Sciences - Law,Open Education,No,Open Education Week,Communications and Media; Advocacy and Policy; Event Logistics
14889155,6/18/2015 13:55:33,Male,Nigeria,Nigeria,Professional advocate,Natural Sciences - Biological sciences,Open Education,No,Open Education Week,Social Media Campaigns; Advocacy and Policy
19389032,6/18/2015 13:59:43,Male,Bulgaria,Belgium,Faculty/teacher,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Data,Yes,,Coding; Website Management / Design; Fundraising
26489097,6/18/2015 14:00:58,Male,Liberia,Liberia,Undergraduate student,None of these describes my field of study or expertise,Open Education,No,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
20970009,6/18/2015 14:03:46,Male,Ghana,Ghana,Masters/professional student,Medicine/Health Sciences - Clinical medicine,Open Education,Yes,,Community / Grassroots Organizing; Communications and Media; Volunteer Management
11126982,6/18/2015 14:15:11,Female,Canada,Canada,PhD candidate,Social Sciences - Social and economic geography,Open Education,No,Open Access Week,Fundraising; Communications and Media; Advocacy and Policy; Event Logistics; Volunteer Management
39137200,6/18/2015 14:16:20,Female,Cameroon,Cameroon,Undergraduate student,Social Sciences - Economics and business,Open Data,Yes,Open Data Day,Fundraising; Volunteer Management; Research about OpenCon's Issue Areas
32953245,6/18/2015 14:27:54,Male,Pakistan,Pakistan,Faculty/teacher,Social Sciences - Political Science,Open Access,Yes,Open Access Week,Fundraising; Communications and Media; Advocacy and Policy; Event Logistics; Volunteer Management
18785360,6/18/2015 14:28:09,Female,India,India,Doctor / medical professional,Medicine/Health Sciences - Health sciences,Open Education,No,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Communications and Media; Volunteer Management
30069860,6/18/2015 14:29:28,Male,Tanzania,China,PhD candidate,Social Sciences - Educational sciences,Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Blogging; Advocacy and Policy; Volunteer Management
18250090,6/18/2015 14:32:54,Male,Liberia,Liberia,Undergraduate student,Natural Sciences - Other natural sciences,Open Education,Yes,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Advocacy and Policy; Volunteer Management
16640029,6/18/2015 14:36:12,Female,India,India,Doctor / medical professional,Medicine/Health Sciences - Other medical sciences,Open Education,No,Open Education Week,Website Management / Design; Social Media Campaigns; Communications and Media; Blogging; Volunteer Management
23992461,6/18/2015 14:39:12,Male,Algeria,Algeria,Undergraduate student,Humanities - Languages and literature,Open Education,No,Open Education Week,Communications and Media; Client Service
18786351,6/18/2015 14:39:55,Male,Nigeria,Nigeria,Masters/professional student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,Yes,Open Access Week,Website Management / Design; Video Editing; Communications and Media; Event Logistics; Volunteer Management
12603473,6/18/2015 14:41:47,Male,Nigeria,Nigeria,Undergraduate student,Humanities - Languages and literature,Open Education,Yes,Open Education Week,Social Media Campaigns; Blogging; Volunteer Management
68210676,6/18/2015 14:43:43,Male,India,India,Doctor / medical professional,Medicine/Health Sciences - Other medical sciences,Open Education,No,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Communications and Media; Volunteer Management
36049111,6/18/2015 14:48:19,Female,India,India,Undergraduate student,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Access,No,,Website Management / Design; Volunteer Management; Research about OpenCon's Issue Areas
36079581,6/18/2015 14:48:53,Male,Cameroon,Cameroon,Undergraduate student,Social Sciences - Law,Open Access,Yes,Open Education Week,Community / Grassroots Organizing; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
36456000,6/18/2015 14:49:49,Male,Gambia,Brunei,PhD candidate,"Humanities - Philosophy, ethics and religion",Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Advocacy and Policy; Event Logistics; Research about OpenCon's Issue Areas
19837663,6/18/2015 14:52:54,Female,Jamaica,Jamaica,Faculty/teacher,None of these describes my field of study or expertise,Open Access,Yes,Open Access Week,Social Media Campaigns; Research about OpenCon's Issue Areas
64183842,6/18/2015 14:53:30,Male,Indonesia,Indonesia,Undergraduate student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,No,Open Access Week,Website Management / Design; Social Media Campaigns; Communications and Media; Blogging; Research about OpenCon's Issue Areas
36346439,6/18/2015 14:59:16,Male,Cameroon,Cameroon,Undergraduate student,Social Sciences - Law,Open Data,Yes,Open Data Day,Graphic Design; Fundraising; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
79634940,6/18/2015 14:59:34,Male,"Congo, Democratic Republic of the",Namibia,Undergraduate student,Agricultural Sciences - Veterinary science,Open Access,No,Open Access Week; Open Education Week,Social Media Campaigns; Fundraising; Communications and Media; Blogging; Event Logistics
26011942,6/18/2015 14:59:47,Male,Nigeria,Nigeria,Other: A startup business owner / Community Development Leader,Social Sciences - Economics and business,Open Access,Yes,Open Access Week,Social Media Campaigns; Communications and Media; Advocacy and Policy; Event Logistics; Volunteer Management
80082666,6/18/2015 15:01:27,Female,Lithuania,Lithuania,Publisher,Social Sciences - Law,Open Access,Yes,Open Access Week,Fundraising; Advocacy and Policy; Research about OpenCon's Issue Areas
36272362,6/18/2015 15:02:17,Female,Georgia,Georgia,Civil servant / government employee,Social Sciences - Law,Open Data,No,,Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
18799569,6/18/2015 15:07:00,Male,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Social Media Campaigns; Communications and Media; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
25912501,6/18/2015 15:13:59,Female,Turkey,Turkey,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,No,Open Access Week,Social Media Campaigns; Communications and Media; Advocacy and Policy
31107934,6/18/2015 15:27:55,Male,Tanzania,Tanzania,Librarian,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,Yes,,Communications and Media; Research about OpenCon's Issue Areas
36108043,6/18/2015 15:30:54,Female,Indonesia,Indonesia,Undergraduate student,"Agricultural Sciences - Agriculture, forestry, and fisheries",Open Education,No,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Volunteer Management
23724037,6/18/2015 15:42:30,Male,Nigeria,India,Undergraduate student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,Yes,Open Access Week,Coding; Website Management / Design; Event Logistics; Research about OpenCon's Issue Areas
14197788,6/18/2015 15:46:30,Male,Pakistan,Pakistan,Faculty/teacher,Natural Sciences - Biological sciences,Open Access,No,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Advocacy and Policy; Volunteer Management
